#acc_value	delta_value	duration_ns	duration_samples
14099312487770	42071	40075995	10630
14099312529864	42094	40074798	10625
14099312571951	42087	40077745	10635
14099312613981	42030	40074831	10636
14099312656085	42104	40074569	10635
14099312698091	42006	40074357	10629
14099312740218	42127	40076305	10632
14099312782230	42012	40073832	10635
14099312824264	42034	40076633	10631
14099312866274	42010	40074910	10621
14099312908314	42040	40076622	10637
14099312950352	42038	40072981	10630
14099312992368	42016	40077509	10622
14099313034349	41981	40074870	10625
14099313076374	42025	40075704	10636
14099313118421	42047	40073692	10631
14099313160472	42051	40074953	10626
14099313202516	42044	40072663	10630
14099313244592	42076	40078811	10634
14099313286663	42071	40073866	10625
14099313328816	42153	40076257	10625
14099313370893	42077	40074144	10629
14099313413031	42138	40078372	10630
14099313455110	42079	40071866	10632
14099313497164	42054	40078587	10634
14099313539252	42088	40074419	10629
14099313581314	42062	40073939	10639
14099313623351	42037	40074856	10629
14099313665425	42074	40078640	10643
14099313707491	42066	40072745	10631
14099313749557	42066	40076069	10627
14099313791692	42135	40075314	10639
14099313833768	42076	40076196	10631
14099313875874	42106	40071562	10634
14099313917973	42099	40077286	10620
14099313960100	42127	40073151	10625
14099314002262	42162	40077745	10626
14099314044481	42219	40074128	10627
14099314086681	42200	40077585	10632
14099314128815	42134	40073515	10629
14099314170971	42156	40076450	10629
14099314213086	42115	40073298	10624
14099314255172	42086	40079553	10638
14099314297260	42088	40071486	10627
14099314339333	42073	40075571	10637
14099314381440	42107	40075335	10634
14099314423559	42119	40076433	10628
14099314465656	42097	40072735	10631
14099314507735	42079	40077747	10634
14099314549825	42090	40073804	10644
14099314591982	42157	40077405	10637
14099314634074	42092	40072863	10628
14099314676150	42076	40075375	10632
14099314718299	42149	40075812	10630
14099314760419	42120	40077153	10628
14099314802509	42090	40074029	10632
14099314844621	42112	40074589	10624
14099314886651	42030	40073012	10629
14099314928702	42051	40076287	10625
14099314970730	42028	40074977	10633
14099315012832	42102	40078048	10622
14099315054935	42103	40071935	10631
14099315096971	42036	40076518	10627
14099315139034	42063	40076032	10633
14099315181107	42073	40075591	10622
14099315223195	42088	40075218	10627
14099315265488	42293	40074165	10634
14099315307715	42227	40072976	10634
14099315349904	42189	40081205	10637
14099315392074	42170	40070271	10630
14099315434226	42152	40076355	10628
14099315476400	42174	40074313	10627
14099315518702	42302	40076909	10631
