#sensor_value	delta_value	duration_ns	duration_samples
565000000	2000000	40073760	8574
563000000	2000000	40077142	8570
559000000	4000000	40073227	8565
561000000	2000000	40077512	8566
554000000	7000000	120226781	28137
550000000	4000000	40073464	9399
544000000	6000000	40076104	9386
546000000	2000000	40074385	9394
543000000	3000000	40074764	9392
546000000	3000000	40074847	9399
550000000	4000000	40078228	9393
548000000	2000000	40073870	9396
552000000	4000000	40075026	9395
550000000	2000000	40073673	9386
548000000	2000000	40075977	9387
541000000	7000000	80149952	18770
539000000	2000000	40076129	9391
543000000	4000000	40074847	9399
544000000	1000000	40076075	9378
541000000	3000000	80149366	18764
544000000	3000000	40074940	9386
539000000	5000000	40075035	9383
537000000	2000000	40077337	9379
535000000	2000000	40075840	9384
539000000	4000000	120224235	28152
541000000	2000000	40075383	9378
544000000	3000000	80149898	18769
539000000	5000000	80152331	18773
541000000	2000000	80149552	18770
537000000	4000000	40075094	9397
539000000	2000000	40077200	9386
541000000	2000000	40073143	9388
543000000	2000000	40075180	9392
544000000	1000000	40078278	9404
541000000	3000000	40071221	9395
544000000	3000000	40075897	9392
546000000	2000000	40076927	9390
541000000	5000000	120223242	28138
543000000	2000000	40077908	9392
544000000	1000000	80148943	18616
541000000	3000000	40074862	9379
544000000	3000000	40075458	9378
541000000	3000000	40077533	9349
539000000	2000000	80148295	18666
533000000	6000000	40074625	9278
535000000	2000000	40073985	9287
533000000	2000000	40076616	9331
535000000	2000000	80149288	18780
532000000	3000000	40077092	9386
535000000	3000000	40076352	9368
537000000	2000000	40073880	9379
535000000	2000000	40076123	9379
532000000	3000000	40075536	9305
535000000	3000000	120226699	27872
532000000	3000000	40074620	9355
537000000	5000000	40073212	9390
541000000	4000000	40077508	9389
539000000	2000000	40072596	9371
537000000	2000000	40076444	9372
532000000	5000000	40076563	9373
535000000	3000000	40073331	9371
539000000	4000000	40075735	9389
526000000	13000000	40073272	9386
528000000	2000000	80150571	18765
530000000	2000000	40077702	9377
528000000	2000000	160299879	37511
535000000	7000000	40076741	9374
532000000	3000000	80148593	18775
535000000	3000000	40075877	9378
532000000	3000000	40077606	9377
535000000	3000000	40073245	9388
530000000	5000000	80151616	18759
528000000	2000000	40073430	9400
535000000	7000000	40076386	9400
533000000	2000000	40076032	9396
535000000	2000000	40075647	9395
533000000	2000000	40074666	9403
537000000	4000000	40073190	9391
539000000	2000000	40076708	9383
535000000	4000000	40072600	9385
532000000	3000000	80154208	18763
533000000	1000000	40074833	9393
530000000	3000000	40076233	9383
533000000	3000000	40070889	9397
539000000	6000000	40077421	9381
537000000	2000000	80158758	18718
535000000	2000000	40065322	9272
539000000	4000000	40078190	9351
533000000	6000000	40072600	9385
535000000	2000000	80152147	18761
528000000	7000000	80149484	18768
532000000	4000000	40076250	9391
530000000	2000000	80151070	18772
528000000	2000000	40073040	9388
530000000	2000000	40077582	9395
524000000	6000000	40073798	9395
528000000	4000000	40077535	9385
524000000	4000000	40071448	9377
526000000	2000000	40070940	9397
528000000	2000000	40083274	9383
530000000	2000000	40073040	9390
528000000	2000000	40076315	9380
533000000	5000000	40074711	9385
528000000	5000000	80151236	18774
526000000	2000000	40075112	9391
