#sensor_value	delta_value	duration_ns	duration_samples
526	2	80152934	7431
524	2	40080013	3715
526	2	160295502	14848
524	2	40074696	3714
526	2	40076788	3716
528	2	40069878	3716
526	2	160307397	14857
524	2	80143109	7404
522	2	40084882	3713
526	4	280518415	25994
521	5	40080460	3713
526	5	80149240	7423
528	2	80148165	7426
530	2	80149101	7426
528	2	80149619	7431
526	2	160300543	14849
530	4	40071847	3710
528	2	240456547	22269
526	2	40080885	3713
528	2	80146471	7426
526	2	80152641	7429
528	2	40067431	3712
526	2	120236168	11138
528	2	40074330	3711
526	2	40068954	3712
521	5	40074671	3711
524	3	40078210	3712
521	3	40074194	3713
524	3	80150692	7425
526	2	40082440	3714
528	2	40072653	3711
526	2	160294950	14866
528	2	40085285	3716
530	2	80145784	7430
528	2	120223772	11143
526	2	40071886	3715
528	2	80152770	7435
533	5	120222155	11144
530	3	80157031	7425
528	2	80151551	7419
526	2	80147186	7420
528	2	40079567	3712
526	2	40069046	3711
528	2	160300102	14858
526	2	80148839	7423
528	2	120233997	11143
530	2	40068552	3715
528	2	80152866	7433
530	2	40080522	3718
528	2	40071618	3716
524	4	40075142	3713
526	2	40075175	3711
528	2	120228358	11141
526	2	40067222	3712
530	4	40082864	3711
528	2	80152234	7423
526	2	40071284	3711
528	2	40075326	3712
530	2	40067485	3711
528	2	40083940	3713
526	2	120218484	11147
524	2	40077538	3714
526	2	80153502	7427
528	2	40068786	3712
526	2	40083540	3713
524	2	40073702	3713
526	2	80147067	7428
524	2	80149795	7426
526	2	120231546	11144
528	2	120224712	11137
526	2	160297929	14852
528	2	80151241	7426
526	2	40073036	3715
524	2	120225925	11141
526	2	120234704	11151
528	2	80145912	7427
526	2	40074130	3713
524	2	40073446	3713
526	2	80155666	7425
530	4	40071353	3712
526	4	120226413	11137
530	4	40074069	3710
528	2	40077271	3712
526	2	40073532	3711
524	2	40075446	3715
526	2	40070487	3712
528	2	40084204	3713
526	2	40067820	3712
528	2	40081626	3713
535	7	40068243	3711
530	5	40079448	3715
533	3	40071876	3712
530	3	40077968	3716
532	2	40078368	3714
528	4	40077755	3713
530	2	40073126	3711
528	2	80147162	7426
533	5	120231239	11141
530	3	40068705	3710
528	2	40077335	3710
530	2	40070968	3712
526	4	80147308	7421
524	2	40080841	3713
528	4	80150248	7430
530	2	40079448	3713
528	2	80147797	7426
530	2	40077812	3716
528	2	160297283	14863
530	2	80158707	7423
528	2	40061991	3713
530	2	80150914	7429
526	4	40084425	3714
528	2	40068247	3711
526	2	40082757	3712
530	4	40069772	3714
528	2	40082329	3716
530	2	80148635	7429
535	5	40073433	3715
532	3	40071813	3712
533	1	40084441	3710
528	5	40073067	3713
539	11	40066857	3710
535	4	40086016	3713
537	2	40069333	3713
532	5	40076763	3712
535	3	40071509	3715
532	3	40074465	3713
535	3	40079976	3721
533	2	40070372	3713
537	4	80149770	7428
535	2	80154074	7432
537	2	40073704	3713
533	4	40081735	3717
535	2	120222665	11149
539	4	40073835	3713
537	2	160305266	14864
535	2	40066470	3716
526	9	40077337	3714
530	4	40070140	3715
528	2	40082809	3715
533	5	40067386	3716
530	3	80159359	7431
528	2	80145219	7429
524	4	40082851	3718
528	4	280518364	26000
530	2	120235003	11142
532	2	40063775	3713
533	1	40087354	3713
530	3	80148838	7432
528	2	40064745	3713
530	2	120237657	11140
526	4	40070653	3712
532	6	40070628	3714
528	4	40074652	3712
524	4	40082428	3715
526	2	80145997	7423
528	2	120228479	11140
526	2	40077323	3721
530	4	40069371	3715
528	2	40075553	3717
526	2	80152721	7427
530	4	160298955	14850
528	2	40075966	3717
533	5	40078327	3715
530	3	40069093	3714
528	2	40079909	3717
533	5	40068619	3716
532	1	80159482	7427
530	2	40074042	3712
533	3	40074149	3715
530	3	80146486	7424
528	2	80152178	7424
530	2	80153713	7422
528	2	80152406	7423
530	2	40072308	3714
528	2	80150865	7424
530	2	40069568	3714
528	2	80152724	7427
526	2	40090343	3715
528	2	80138084	7426
530	2	40074109	3711
528	2	40075657	3710
530	2	40073079	3709
528	2	40079098	3712
526	2	200370650	18562
528	2	40085675	3717
533	5	40070905	3713
530	3	80144276	7426
528	2	80158638	7428
530	2	40072687	3713
528	2	80153490	7423
546	18	40068025	3713
541	5	40073374	3711
535	6	40080456	3716
537	2	40070586	3713
541	4	80157737	7426
550	9	80141285	7423
559	9	40076728	3714
561	2	40079510	3717
568	7	40072699	3713
563	5	40070907	3710
579	16	40074870	3711
583	4	80158750	6607
588	5	40083145	2471
585	3	40068644	2471
579	6	40081981	2469
577	2	40063332	2469
572	5	120235002	7413
570	2	80152541	4941
574	4	40066378	2467
572	2	80149543	4939
574	2	40075050	2470
572	2	40082468	2470
570	2	40079587	2469
568	2	120206460	7406
566	2	40090095	2469
563	3	40069725	2468
565	2	40070900	2468
568	3	40085639	2469
567	1	40065843	2468
570	3	40088140	2469
565	5	40070161	2470
568	3	40074350	2470
570	2	40069076	2469
568	2	40072313	2470
572	4	40087466	2471
570	2	80142733	4938
568	2	40074969	2471
565	3	40088980	2471
568	3	40065956	2469
570	2	40079924	2470
572	2	40072376	2468
570	2	120221423	7406
568	2	40070734	2471
565	3	40083204	2472
568	3	40073106	2471
570	2	80146391	4939
565	5	40080966	2470
568	3	40065532	2468
570	2	80159283	4940
568	2	80143266	4940
570	2	40078905	2469
568	2	40072404	2469
566	2	40089713	2470
563	3	80138901	4942
568	5	40075204	2470
570	2	80157486	4939
559	11	40084265	2472
550	9	120214763	7556
541	9	40072733	3716
548	7	80149778	7425
541	7	40078129	3712
544	3	80142073	7424
541	3	40085468	3715
543	2	40068383	3712
544	1	40075183	3717
541	3	120229741	11142
537	4	40079382	3722
