#acc_value	delta_value	duration_ns	duration_samples
14099097361527	42340	40078393	3712
14099097403925	42398	40064530	3711
14099097446344	42419	40084440	3713
14099097488706	42362	40072477	3711
14099097531077	42371	40074235	3716
14099097573462	42385	40070997	3710
14099097615733	42271	40076567	3711
14099097658024	42291	40071713	3714
14099097700294	42270	40082604	3711
14099097742556	42262	40067187	3710
14099097784857	42301	40085453	3709
14099097827144	42287	40068971	3712
14099097869415	42271	40074794	3714
14099097911699	42284	40087014	3714
14099097954045	42346	40072694	3715
14099097996429	42384	40070657	3712
14099098038811	42382	40076985	3716
14099098081166	42355	40069463	3714
14099098123509	42343	40081702	3715
14099098165844	42335	40066010	3711
14099098208126	42282	40082952	3718
14099098250466	42340	40075309	3716
14099098292767	42301	40076147	3714
14099098335083	42316	40070260	3709
14099098377447	42364	40084138	3713
14099098419751	42304	40061932	3716
14099098462179	42428	40088510	3716
14099098504543	42364	40056529	3710
14099098546905	42362	40085467	3715
14099098589263	42358	40069844	3717
14099098631577	42314	40079950	3714
14099098673945	42368	40078002	3713
14099098716251	42306	40074294	3709
14099098758644	42393	40070190	3714
14099098800950	42306	40081276	3716
14099098843289	42339	40067168	3712
14099098885709	42420	40086714	3713
14099098928130	42421	40072409	3709
14099098970596	42466	40079583	3714
14099099013101	42505	40068501	3711
14099099055496	42395	40079827	3716
14099099097847	42351	40074895	3711
14099099140214	42367	40072244	3713
14099099182598	42384	40067903	3710
14099099224959	42361	40080823	3717
14099099267358	42399	40072013	3713
14099099309724	42366	40082751	3712
14099099352120	42396	40068343	3712
