#sensor_value	delta_value	duration_ns	duration_samples
532	1	80153737	21254
530	2	40074024	10629
533	3	40074905	10635
532	1	40077554	10634
537	5	40074722	10640
535	2	80147732	21263
530	5	120226036	31894
528	2	80152196	21243
532	4	160299668	42533
533	1	40074772	10633
530	3	40079317	10636
533	3	40073656	10637
528	5	40076462	10630
533	5	80148607	21269
530	3	80151213	21249
533	3	40074470	10619
535	2	120226272	31802
533	2	40073566	10628
535	2	40075787	10627
533	2	40073551	10625
530	3	40077387	10622
532	2	80149815	21254
535	3	80152945	21243
532	3	40075616	10628
530	2	40067000	10628
